"","del=0","del=0.01","del=0.02","del=0.03","del=0.04","del=0.05","del=0.06","del=0.07","del=0.08","del=0.09","del=0.1","del=0.11","del=0.12","del=0.13","del=0.14","del=0.15","del=0.16","del=0.17","del=0.18","del=0.19","del=0.2","del=0.21","del=0.22","del=0.23","del=0.24","del=0.25","del=0.26","del=0.27","del=0.28","del=0.29","del=0.3","del=0.31","del=0.32","del=0.33","del=0.34","del=0.35","del=0.36","del=0.37","del=0.38","del=0.39","del=0.4","del=0.41","del=0.42","del=0.43","del=0.44","del=0.45","del=0.46","del=0.47","del=0.48","del=0.49","del=0.5"
"Dim 1",0.545,0.538,0.521,0.56,0.569,0.575,0.547,0.569,0.567,0.568,0.567,0.592,0.572,0.562,0.598,0.601,0.603,0.616,0.62,0.607,0.649,0.617,0.634,0.676,0.674,0.644,0.679,0.683,0.686,0.698,0.72,0.73,0.746,0.716,0.736,0.733,0.768,0.788,0.797,0.803,0.807,0.836,0.824,0.849,0.834,0.845,0.853,0.863,0.862,0.878,0.892
"Dim 2",0.73,0.747,0.74,0.746,0.756,0.749,0.749,0.739,0.743,0.738,0.735,0.77,0.772,0.79,0.802,0.806,0.791,0.837,0.818,0.815,0.81,0.815,0.856,0.846,0.854,0.856,0.866,0.854,0.897,0.881,0.894,0.922,0.924,0.913,0.92,0.923,0.926,0.957,0.95,0.951,0.954,0.952,0.96,0.951,0.957,0.965,0.971,0.974,0.976,0.98,0.981
"Dim 3",0.862,0.849,0.842,0.836,0.815,0.863,0.871,0.852,0.835,0.866,0.872,0.869,0.879,0.875,0.878,0.89,0.892,0.888,0.896,0.916,0.915,0.924,0.916,0.916,0.936,0.947,0.952,0.936,0.963,0.96,0.973,0.965,0.97,0.974,0.969,0.97,0.977,0.98,0.98,0.986,0.985,0.989,0.983,0.993,0.995,0.992,0.998,0.994,0.997,0.997,0.999
"Dim 4",0.908,0.894,0.918,0.91,0.896,0.923,0.912,0.916,0.921,0.912,0.927,0.921,0.928,0.921,0.938,0.944,0.945,0.931,0.943,0.953,0.957,0.941,0.963,0.965,0.972,0.97,0.973,0.976,0.981,0.978,0.986,0.988,0.994,0.988,0.991,0.986,0.991,0.995,0.996,0.995,0.992,0.999,0.998,0.996,0.999,1,1,0.998,0.999,1,1
"Dim 5",0.933,0.95,0.935,0.929,0.94,0.947,0.93,0.95,0.944,0.949,0.952,0.966,0.973,0.96,0.955,0.961,0.968,0.968,0.972,0.97,0.98,0.971,0.987,0.978,0.988,0.985,0.992,0.989,0.992,0.993,0.996,0.992,0.998,0.997,0.998,0.997,0.997,0.997,1,0.997,0.999,0.999,0.999,1,1,1,0.999,1,1,0.999,1
"Dim 6",0.963,0.966,0.954,0.948,0.97,0.965,0.963,0.962,0.969,0.957,0.97,0.975,0.962,0.973,0.975,0.975,0.973,0.981,0.98,0.987,0.991,0.988,0.988,0.995,0.993,0.99,0.994,0.994,0.999,0.997,0.998,1,0.998,0.997,0.997,0.997,1,1,1,0.999,1,1,1,1,0.999,1,1,1,1,1,1
"Dim 7",0.978,0.985,0.971,0.974,0.978,0.977,0.976,0.967,0.976,0.989,0.985,0.987,0.98,0.996,0.992,0.982,0.989,0.986,0.99,0.995,0.993,0.993,0.994,0.998,0.995,0.998,0.997,0.998,0.997,0.998,0.998,0.998,1,1,1,1,0.999,1,0.999,1,0.999,1,1,1,1,1,1,1,1,1,1
"Dim 8",0.976,0.982,0.985,0.974,0.986,0.982,0.988,0.985,0.987,0.983,0.987,0.992,0.992,0.995,0.994,0.996,0.994,0.991,0.997,0.997,0.994,0.993,0.997,0.996,0.999,0.998,0.997,0.997,1,1,0.999,0.998,1,0.997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 9",0.988,0.98,0.992,0.991,0.99,0.986,0.993,0.993,0.992,0.994,0.992,0.988,0.999,0.995,0.992,0.997,0.999,0.998,0.994,0.999,0.997,1,0.998,1,0.999,0.999,0.999,1,0.999,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 10",0.991,0.99,0.996,0.999,0.99,0.995,0.991,0.994,0.995,0.995,0.998,0.998,0.999,0.994,0.998,1,0.997,0.997,0.999,1,0.999,0.999,0.999,1,1,1,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 11",0.997,0.995,0.996,0.998,0.999,0.995,0.998,0.997,0.996,0.996,0.997,0.998,0.998,0.998,0.998,0.999,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 12",0.994,0.996,0.997,0.993,0.992,0.998,0.993,0.997,0.996,0.999,0.997,0.999,0.997,0.998,1,0.998,1,0.999,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 13",0.995,1,1,0.996,0.998,1,0.996,0.999,0.997,0.999,1,0.998,0.999,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 14",0.998,0.999,0.999,0.998,1,0.999,0.999,0.999,1,0.999,0.998,0.999,1,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 15",0.999,0.999,1,0.999,1,1,0.999,1,0.998,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 16",1,0.998,1,1,1,0.999,1,1,1,1,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 17",1,1,0.999,1,0.999,1,0.999,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 18",1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 19",1,1,1,1,1,1,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 20",1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
